"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"US1CASN0039","PETALUMA 1.8 WSW, CA US","38.2334","-122.6563","47.9","2017-01-03",,,,,,,,,,,"0.45",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CASN0039","PETALUMA 1.8 WSW, CA US","38.2334","-122.6563","47.9","2017-01-07",,,,,,,,,,,"0.32",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CASN0039","PETALUMA 1.8 WSW, CA US","38.2334","-122.6563","47.9","2017-01-08",,,,,,,,,,,"2.05",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CASN0039","PETALUMA 1.8 WSW, CA US","38.2334","-122.6563","47.9","2017-01-09",,,,,,,,,,,"1.05",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CASN0039","PETALUMA 1.8 WSW, CA US","38.2334","-122.6563","47.9","2017-01-10",,,,,,,,,,,"0.96",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CASN0039","PETALUMA 1.8 WSW, CA US","38.2334","-122.6563","47.9","2017-01-11",,,,,,,,,,,"2.18",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CASN0039","PETALUMA 1.8 WSW, CA US","38.2334","-122.6563","47.9","2017-01-19",,,,,,,,,,,"1.53",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CASN0039","PETALUMA 1.8 WSW, CA US","38.2334","-122.6563","47.9","2017-01-20",,,,,,,,,,,"0.83",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CASN0039","PETALUMA 1.8 WSW, CA US","38.2334","-122.6563","47.9","2017-01-22",,,,,,,,,,,"1.31",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CASN0039","PETALUMA 1.8 WSW, CA US","38.2334","-122.6563","47.9","2017-02-06",,,,,,,,,,,"0.93",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CASN0039","PETALUMA 1.8 WSW, CA US","38.2334","-122.6563","47.9","2017-02-07",,,,,,,,,,,"2.08",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CASN0039","PETALUMA 1.8 WSW, CA US","38.2334","-122.6563","47.9","2017-02-08",,,,,,,,,,,"0.51",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CASN0039","PETALUMA 1.8 WSW, CA US","38.2334","-122.6563","47.9","2017-02-09",,,,,,,,,,,"0.53",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CASN0039","PETALUMA 1.8 WSW, CA US","38.2334","-122.6563","47.9","2017-02-10",,,,,,,,,,,"1.23",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CASN0039","PETALUMA 1.8 WSW, CA US","38.2334","-122.6563","47.9","2017-03-05",,,,,,,,,,,"0.51",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CASN0039","PETALUMA 1.8 WSW, CA US","38.2334","-122.6563","47.9","2017-03-06",,,,,,,,,,,"0.28",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CASN0039","PETALUMA 1.8 WSW, CA US","38.2334","-122.6563","47.9","2017-03-21",,,,,,,,,,,"0.95",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
