Year,Month,Day,PRCP
2016,8,1,0.000000
2016,8,2,0.000000
2016,8,3,0.000000
2016,8,4,0.000000
2016,8,5,0.000000
2016,8,6,0.000000
2016,8,7,0.000000
2016,8,8,0.000000
2016,8,9,0.000000
2016,8,10,0.000000
2016,8,11,0.000000
2016,8,12,0.000000
2016,8,13,0.000000
2016,8,14,0.000000
2016,8,15,0.000000
2016,8,16,0.000000
2016,8,17,0.000000
2016,8,18,0.000000
2016,8,19,0.000000
2016,8,20,0.000000
2016,8,21,0.000000
2016,8,22,0.000000
2016,8,23,0.000000
2016,8,24,0.000000
2016,8,25,0.000000
2016,8,26,0.000000
2016,8,27,0.000000
2016,8,28,0.000000
2016,8,29,0.000000
2016,8,30,0.000000
2016,8,31,0.000000
2016,9,1,0.000000
2016,9,2,0.000000
2016,9,3,0.000000
2016,9,4,0.000000
2016,9,5,0.000000
2016,9,6,0.000000
2016,9,7,0.000000
2016,9,8,0.000000
2016,9,9,0.000000
2016,9,10,0.000000
2016,9,11,0.000000
2016,9,12,0.000000
2016,9,13,0.000000
2016,9,14,0.000000
2016,9,15,0.000000
2016,9,16,0.000000
2016,9,17,0.000000
2016,9,18,0.000000
2016,9,19,0.000000
2016,9,20,0.000000
2016,9,21,0.000000
2016,9,22,0.000000
2016,9,23,0.000000
2016,9,24,0.000000
2016,9,25,0.000000
2016,9,26,0.000000
2016,9,27,0.000000
2016,9,28,0.000000
2016,9,29,0.000000
2016,9,30,0.000000
2016,10,1,0.000000
2016,10,2,0.000000
2016,10,3,0.000000
2016,10,4,0.000000
2016,10,5,0.000000
2016,10,6,0.000000
2016,10,7,0.000000
2016,10,8,0.000000
2016,10,9,0.000000
2016,10,10,0.000000
2016,10,11,0.000000
2016,10,12,0.000000
2016,10,13,0.000000
2016,10,14,0.000000
2016,10,15,4.800000
2016,10,16,11.700000
2016,10,17,29.000000
2016,10,18,0.000000
2016,10,19,0.000000
2016,10,20,0.000000
2016,10,21,0.000000
2016,10,22,0.000000
2016,10,23,0.000000
2016,10,24,0.000000
2016,10,25,0.000000
2016,10,26,0.000000
2016,10,27,0.800000
2016,10,28,29.200000
2016,10,29,2.500000
2016,10,30,0.300000
2016,10,31,0.000000
2016,11,1,0.000000
2016,11,2,0.000000
2016,11,3,0.000000
2016,11,4,0.000000
2016,11,5,0.000000
2016,11,6,0.000000
2016,11,7,0.000000
2016,11,8,0.000000
2016,11,9,0.000000
2016,11,10,0.000000
2016,11,11,0.000000
2016,11,12,0.000000
2016,11,13,0.000000
2016,11,14,0.000000
2016,11,15,0.000000
2016,11,16,0.000000
2016,11,17,0.000000
2016,11,18,0.000000
2016,11,19,0.000000
2016,11,20,0.300000
2016,11,21,2.500000
2016,11,22,0.000000
2016,11,23,1.500000
2016,11,24,0.000000
2016,11,25,0.000000
2016,11,26,4.800000
2016,11,27,13.500000
2016,11,28,0.300000
2016,11,29,0.000000
2016,11,30,0.000000
2016,12,1,0.300000
2016,12,2,0.000000
2016,12,3,0.000000
2016,12,4,0.000000
2016,12,5,0.000000
2016,12,6,0.000000
2016,12,7,0.000000
2016,12,8,3.300000
2016,12,9,0.300000
2016,12,10,0.300000
2016,12,11,25.100000
2016,12,12,0.000000
2016,12,13,0.000000
2016,12,14,0.300000
2016,12,15,0.000000
2016,12,16,19.300000
2016,12,17,0.000000
2016,12,18,0.000000
2016,12,19,0.000000
2016,12,20,0.000000
2016,12,21,0.000000
2016,12,22,0.000000
2016,12,23,11.200000
2016,12,24,7.600000
