Year,Month,Day,Hour,HOURLYPrecip
2017,1,2,11,0.000000
2017,1,2,13,0.000000
2017,1,2,14,0.000000
2017,1,2,15,0.000000
2017,1,2,16,0.000000
2017,1,2,17,0.000000
2017,1,2,19,0.051181
2017,1,2,20,0.051181
2017,1,2,23,0.098425
2017,1,3,0,0.031496
2017,1,3,2,0.011811
2017,1,3,3,0.000000
2017,1,3,4,0.000000
2017,1,3,5,0.039370
2017,1,3,6,0.000000
2017,1,3,7,0.000000
2017,1,3,8,0.000000
2017,1,3,9,0.019685
2017,1,3,10,0.019685
2017,1,3,11,0.011811
2017,1,3,12,0.039370
2017,1,3,13,0.019685
2017,1,3,14,0.011811
2017,1,3,15,0.011811
2017,1,3,16,0.019685
2017,1,3,17,0.031496
2017,1,3,18,0.019685
2017,1,3,19,0.000000
2017,1,3,20,0.019685
2017,1,3,21,0.059055
2017,1,3,22,0.118110
2017,1,3,23,0.090551
2017,1,4,0,0.019685
2017,1,4,1,10.311024
2017,1,4,2,0.039370
2017,1,4,5,0.000000
2017,1,4,8,0.019685
2017,1,4,11,0.401575
2017,1,4,14,0.039370
2017,1,4,16,3.598425
2017,1,4,21,0.000000
2017,1,4,22,0.000000
2017,1,4,23,0.019685
2017,1,5,0,0.011811
2017,1,5,1,0.031496
2017,1,5,2,0.019685
2017,1,5,3,0.011811
2017,1,5,4,0.019685
2017,1,5,5,0.090551
2017,1,5,11,39.366142
2017,1,7,5,0.000000
2017,1,7,6,0.000000
2017,1,7,7,0.000000
2017,1,7,8,0.000000
2017,1,7,9,0.011811
2017,1,7,10,0.011811
2017,1,7,11,0.019685
2017,1,7,12,0.090551
2017,1,7,13,0.129921
2017,1,7,14,0.188976
2017,1,7,15,0.059055
2017,1,7,16,0.039370
2017,1,7,17,0.031496
2017,1,7,18,0.011811
2017,1,7,19,0.019685
2017,1,7,20,0.011811
2017,1,7,21,0.011811
2017,1,7,23,0.051181
2017,1,8,1,0.000000
2017,1,8,2,0.000000
2017,1,8,4,0.000000
2017,1,8,5,0.149606
2017,1,8,6,0.019685
2017,1,8,7,0.070866
2017,1,8,8,0.161417
2017,1,8,9,0.090551
2017,1,8,10,0.098425
2017,1,8,11,0.271654
2017,1,8,12,0.031496
2017,1,8,13,0.011811
2017,1,8,14,0.011811
2017,1,8,15,0.169291
2017,1,8,16,0.031496
2017,1,8,17,0.118110
2017,1,8,18,0.059055
2017,1,8,19,0.110236
2017,1,8,20,0.019685
2017,1,8,21,0.031496
2017,1,8,22,0.039370
2017,1,8,23,0.181102
2017,1,9,0,0.090551
2017,1,9,1,0.000000
2017,1,9,2,0.090551
2017,1,9,3,0.019685
2017,1,9,4,0.019685
2017,1,9,5,0.129921
2017,1,9,7,0.019685
2017,1,9,8,0.129921
2017,1,9,9,0.000000
2017,1,9,11,0.149606
2017,1,10,1,0.019685
2017,1,10,2,0.019685
2017,1,10,3,0.011811
2017,1,10,4,0.011811
2017,1,10,5,0.011811
2017,1,10,6,0.019685
2017,1,10,7,0.039370
2017,1,10,8,0.039370
2017,1,10,9,0.031496
2017,1,10,10,0.110236
2017,1,10,11,0.118110
2017,1,10,12,0.019685
2017,1,10,13,0.031496
2017,1,10,14,0.031496
2017,1,10,15,0.118110
2017,1,10,16,0.059055
2017,1,10,17,0.078740
2017,1,10,18,0.078740
2017,1,10,19,0.141732
2017,1,10,20,0.208661
2017,1,10,21,0.118110
2017,1,10,22,0.220472
2017,1,10,23,0.118110
2017,1,11,0,0.059055
2017,1,11,1,0.129921
2017,1,11,2,0.311024
2017,1,11,3,0.370079
2017,1,11,4,0.031496
2017,1,11,5,0.901575
2017,1,11,7,0.090551
2017,1,11,8,0.110236
2017,1,11,11,0.000000
2017,1,11,14,0.011811
2017,1,11,15,0.000000
2017,1,11,17,0.011811
2017,1,12,7,0.000000
2017,1,12,8,0.011811
2017,1,12,9,0.019685
2017,1,12,10,0.051181
2017,1,12,11,0.039370
2017,1,12,12,0.039370
2017,1,12,13,0.039370
2017,1,12,14,0.011811
2017,1,12,15,0.011811
2017,1,12,16,0.000000
2017,1,12,17,0.000000
2017,1,12,19,0.000000
2017,1,12,20,0.000000
2017,1,12,23,0.000000
2017,1,13,11,0.098425
2017,1,15,11,0.000000
2017,1,16,11,0.000000
2017,1,16,16,0.000000
2017,1,16,17,0.000000
2017,1,18,11,0.000000
2017,1,18,12,0.070866
2017,1,18,13,0.011811
2017,1,18,14,0.078740
2017,1,18,17,0.019685
2017,1,18,18,0.070866
2017,1,18,19,0.031496
2017,1,18,20,0.098425
2017,1,18,23,0.118110
2017,1,19,0,0.208661
2017,1,19,2,0.181102
2017,1,19,3,0.409449
2017,1,19,4,0.279528
2017,1,19,5,0.031496
2017,1,19,7,0.011811
2017,1,19,8,0.039370
2017,1,19,9,0.019685
2017,1,19,11,39.366142
2017,1,19,14,0.000000
2017,1,19,15,0.039370
2017,1,19,16,0.000000
2017,1,19,17,0.039370
2017,1,19,19,0.000000
2017,1,19,20,0.000000
2017,1,19,23,0.000000
2017,1,20,5,0.000000
2017,1,20,6,0.000000
2017,1,20,7,0.031496
2017,1,20,8,0.019685
2017,1,20,9,0.078740
2017,1,20,10,0.070866
2017,1,20,11,0.118110
2017,1,20,12,0.299213
2017,1,20,13,0.149606
2017,1,20,14,0.448819
2017,1,20,15,0.039370
2017,1,20,16,0.000000
2017,1,20,17,0.011811
2017,1,20,18,0.011811
2017,1,20,19,0.000000
2017,1,20,20,0.031496
2017,1,20,23,0.000000
2017,1,21,0,0.000000
2017,1,21,1,0.000000
2017,1,21,2,0.011811
2017,1,21,3,0.129921
2017,1,21,4,0.000000
2017,1,21,5,0.000000
2017,1,21,6,0.000000
2017,1,21,7,0.000000
2017,1,21,8,0.000000
2017,1,21,9,0.000000
2017,1,21,10,0.019685
2017,1,21,11,0.019685
2017,1,21,13,0.078740
2017,1,21,14,0.011811
2017,1,21,15,0.000000
2017,1,21,16,0.019685
2017,1,21,17,0.110236
2017,1,21,19,0.000000
2017,1,21,20,0.019685
2017,1,21,21,0.011811
2017,1,21,22,0.000000
2017,1,21,23,0.000000
2017,1,22,0,0.031496
2017,1,22,1,0.000000
2017,1,22,2,0.039370
2017,1,22,3,0.039370
2017,1,22,4,0.059055
2017,1,22,5,0.051181
2017,1,22,6,0.039370
2017,1,22,7,0.078740
2017,1,22,8,0.051181
2017,1,22,9,0.129921
2017,1,22,10,0.181102
2017,1,22,11,0.129921
2017,1,22,12,0.129921
2017,1,22,13,0.429134
2017,1,22,14,0.169291
2017,1,22,15,0.000000
2017,1,22,16,0.011811
2017,1,22,17,0.740157
2017,1,22,23,0.161417
2017,1,23,0,0.110236
2017,1,23,1,0.090551
2017,1,23,2,0.000000
2017,1,23,5,0.200787
2017,1,23,6,0.000000
2017,1,23,8,0.000000
2017,1,23,11,0.059055
2017,1,23,12,0.019685
2017,1,23,13,0.000000
2017,1,23,14,0.019685
2017,1,23,17,0.019685
2017,1,23,21,0.000000
2017,1,23,23,0.000000
2017,1,24,5,0.000000
2017,1,24,6,0.000000
2017,1,24,8,0.000000
2017,1,24,10,0.000000
2017,1,24,11,0.000000
2017,1,25,15,0.000000
